Number of items, Bubble Sort, Quick Sort, Heap Sort, Insertion Sort, Merge Sort,
10,0,0,0,0,0, 
60,33.3,0,33.3,0,0, 
110,66.56667,0,66.63333,33.3,0, 
160,133.2,0,99.9,0,0, 
210,199.76667,0,133.23333,0,0, 
260,366.26667,0,166.7,66.6,0, 
310,466.2,0,166.5,66.6,33.3, 
360,599.36667,33.26667,199.83333,133.23333,33.26667, 
410,865.76667,0,266.43333,99.83333,33.33333, 
460,1032.5,33.3,266.36667,133.16667,33.3, 
510,1265.4,33.3,333,199.8,33.3, 
560,1631.9,33.26667,532.86667,199.8,66.6, 
610,1765.16667,66.6,432.9,233.06667,66.56667, 
660,2084.03333,66.63333,432.86667,266.4,66.76667, 
710,2464.56667,66.63333,466.16667,299.63333,66.63333, 
760,2731.36667,66.6,532.83333,366.26667,66.63333, 
810,3131.06667,66.56667,566.1,466.23333,66.6, 
860,3615.53333,66.6,566.06667,432.9,66.6, 
910,3897.26667,99.8,599.43333,499.43333,133.23333, 
960,4796.63333,66.56667,699.36667,865.96667,66.63333, 
1010,5496.13333,66.6,765.86667,665.93333,99.9, 
1060,6395.6,99.9,932.2,965.6,133.2, 
1110,6979.9,66.6,899.1,1132.4,299.73333, 
1160,7228.7,66.6,899.13333,965.7,133.16667, 
1210,7661.6,99.9,899.1,1032.36667,166.43333, 
1260,8914.46667,66.6,1198.83333,1165.53333,66.6, 
1310,9060.5,133.13333,1132.3,1198.83333,133.2, 
1360,10213.83333,133.23333,1065.53333,1265.56667,133.2, 
1410,9893.46667,133.2,1298.83333,1298.7,133.16667, 
1460,10126.6,133.2,1065.56667,1432,99.9, 
1510,11582.86667,99.93333,1132.13333,1398.7,166.46667, 
1560,12924.93333,33.3,1198.76667,1531.83333,166.5, 
1610,14557.3,66.6,1464.9,2031.7,399.63333, 
1660,15623.23333,133.2,1518.53333,1831.66667,166.5, 
1710,14190.86667,166.5,1298.8,1831.73333,233.1, 
1760,15723.2,166.5,1965.03333,1931.7,166.5, 
1810,17322.3,199.8,1531.9,2264.9,166.46667, 
